feature,modality,family,description
activity__score_move_every_hour__p10,activity,vendor,activity_score_move_every_hour; across days p10
activity__score_move_every_hour__p90,activity,vendor,activity_score_move_every_hour; across days p90
activity__score_move_every_hour__missing_fraction,activity,quality,activity_score_move_every_hour; daily missing fraction
activity__score_recovery_time__median,activity,vendor,activity_score_recovery_time; across days median
activity__score_recovery_time__iqr,activity,vendor,activity_score_recovery_time; across days iqr
activity__score_recovery_time__p10,activity,vendor,activity_score_recovery_time; across days p10
activity__score_recovery_time__p90,activity,vendor,activity_score_recovery_time; across days p90
activity__score_recovery_time__missing_fraction,activity,quality,activity_score_recovery_time; daily missing fraction
activity__score_stay_active__median,activity,vendor,activity_score_stay_active; across days median
activity__score_stay_active__iqr,activity,vendor,activity_score_stay_active; across days iqr
activity__score_stay_active__p10,activity,vendor,activity_score_stay_active; across days p10
activity__score_stay_active__p90,activity,vendor,activity_score_stay_active; across days p90
activity__score_stay_active__missing_fraction,activity,quality,activity_score_stay_active; daily missing fraction
activity__score_training_frequency__median,activity,vendor,activity_score_training_frequency; across days median
activity__score_training_frequency__iqr,activity,vendor,activity_score_training_frequency; across days iqr
activity__score_training_frequency__p10,activity,vendor,activity_score_training_frequency; across days p10
activity__score_training_frequency__p90,activity,vendor,activity_score_training_frequency; across days p90
activity__score_training_frequency__missing_fraction,activity,quality,activity_score_training_frequency; daily missing fraction
activity__score_training_volume__median,activity,vendor,activity_score_training_volume; across days median
activity__score_training_volume__iqr,activity,vendor,activity_score_training_volume; across days iqr
activity__score_training_volume__p10,activity,vendor,activity_score_training_volume; across days p10
activity__score_training_volume__p90,activity,vendor,activity_score_training_volume; across days p90
activity__score_training_volume__missing_fraction,activity,quality,activity_score_training_volume; daily missing fraction
activity__steps__median,activity,physiology,activity_steps; across days median
activity__steps__iqr,activity,physiology,activity_steps; across days iqr
activity__steps__p10,activity,physiology,activity_steps; across days p10
activity__steps__p90,activity,physiology,activity_steps; across days p90
activity__steps__missing_fraction,activity,quality,activity_steps; daily missing fraction
activity__total__median,activity,physiology,activity_total; across days median
activity__total__iqr,activity,physiology,activity_total; across days iqr
activity__total__p10,activity,physiology,activity_total; across days p10
activity__total__p90,activity,physiology,activity_total; across days p90
activity__total__missing_fraction,activity,quality,activity_total; daily missing fraction
activity__state_code_0_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days median
activity__state_code_0_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days iqr
activity__state_code_0_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p10
activity__state_code_0_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p90
activity__state_code_0_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_fraction; daily missing fraction
activity__state_code_0_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days median
activity__state_code_0_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days iqr
activity__state_code_0_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p10
activity__state_code_0_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p90
activity__state_code_0_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; daily missing fraction
activity__state_code_1_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days median
activity__state_code_1_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days iqr
activity__state_code_1_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p10
activity__state_code_1_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p90
activity__state_code_1_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_fraction; daily missing fraction
activity__state_code_1_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days median
activity__state_code_1_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days iqr
activity__state_code_1_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p10
activity__state_code_1_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p90
activity__state_code_1_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; daily missing fraction
activity__state_code_2_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days median
activity__state_code_2_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days iqr
activity__state_code_2_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p10
activity__state_code_2_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p90
activity__state_code_2_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_fraction; daily missing fraction
activity__state_code_2_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days median
activity__state_code_2_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days iqr
activity__state_code_2_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p10
activity__state_code_2_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p90
activity__state_code_2_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; daily missing fraction
activity__state_code_3_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days median
activity__state_code_3_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days iqr
activity__state_code_3_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p10
activity__state_code_3_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p90
activity__state_code_3_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_3_fraction; daily missing fraction
activity__state_code_3_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days median
activity__state_code_3_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days iqr
activity__state_code_3_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days p10
activity__state_code_3_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days p90
activity__state_code_3_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; daily missing fraction
activity__state_code_4_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days median
activity__state_code_4_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days iqr
activity__state_code_4_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days p10
activity__state_code_4_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days p90
activity__state_code_4_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_4_fraction; daily missing fraction
activity__state_code_4_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days median
activity__state_code_4_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days iqr
activity__state_code_4_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days p10
activity__state_code_4_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days p90
activity__state_code_4_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; daily missing fraction
activity__state_code_5_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days median
activity__state_code_5_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days iqr
activity__state_code_5_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days p10
activity__state_code_5_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days p90
activity__state_code_5_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_5_fraction; daily missing fraction
activity__state_code_5_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days median
activity__state_code_5_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days iqr
activity__state_code_5_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days p10
activity__state_code_5_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days p90
activity__state_code_5_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; daily missing fraction
activity__state_entropy__median,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days median
activity__state_entropy__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days iqr
activity__state_entropy__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days p10
activity__state_entropy__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days p90
activity__state_entropy__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): entropy; daily missing fraction
activity__state_transition_rate__median,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days median
activity__state_transition_rate__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days iqr
activity__state_transition_rate__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days p10
activity__state_transition_rate__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days p90
activity__state_transition_rate__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): transition_rate; daily missing fraction
activity__state_valid_fraction__median,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days median
activity__state_valid_fraction__iqr,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days iqr
activity__state_valid_fraction__p10,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days p10
activity__state_valid_fraction__p90,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days p90
activity__state_valid_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; daily missing fraction
activity__state_length__median,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days median
activity__state_length__iqr,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days iqr
activity__state_length__p10,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days p10
activity__state_length__p90,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days p90
activity__state_length__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): length; daily missing fraction
activity__met_mean__median,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days median
activity__met_mean__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days iqr
activity__met_mean__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days p10
activity__met_mean__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days p90
activity__met_mean__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): mean; daily missing fraction
activity__met_std__median,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days median
activity__met_std__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days iqr
activity__met_std__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days p10
activity__met_std__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days p90
activity__met_std__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): std; daily missing fraction
activity__met_p10__median,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days median
activity__met_p10__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days iqr
activity__met_p10__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days p10
activity__met_p10__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days p90
activity__met_p10__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): p10; daily missing fraction
activity__met_p90__median,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days median
activity__met_p90__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days iqr
activity__met_p90__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days p10
activity__met_p90__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days p90
activity__met_p90__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): p90; daily missing fraction
activity__met_rmssd_adjacent__median,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days median
activity__met_rmssd_adjacent__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days iqr
activity__met_rmssd_adjacent__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days p10
activity__met_rmssd_adjacent__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days p90
activity__met_rmssd_adjacent__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; daily missing fraction
activity__met_lag1__median,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days median
activity__met_lag1__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days iqr
activity__met_lag1__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days p10
activity__met_lag1__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days p90
activity__met_lag1__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): lag1; daily missing fraction
activity__met_last_first_third__median,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days median
activity__met_last_first_third__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days iqr
activity__met_last_first_third__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days p10
activity__met_last_first_third__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days p90
activity__met_last_first_third__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): last_first_third; daily missing fraction
activity__met_valid_fraction__median,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days median
activity__met_valid_fraction__iqr,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days iqr
activity__met_valid_fraction__p10,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days p10
activity__met_valid_fraction__p90,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days p90
activity__met_valid_fraction__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; daily missing fraction
activity__met_length__median,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days median
activity__met_length__iqr,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days iqr
activity__met_length__p10,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days p10
activity__met_length__p90,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days p90
activity__met_length__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): length; daily missing fraction
activity__met_cosinor_amplitude__median,activity,physiology,MET clock: cosinor_amplitude; across days median
activity__met_cosinor_amplitude__iqr,activity,physiology,MET clock: cosinor_amplitude; across days iqr
activity__met_cosinor_amplitude__p10,activity,physiology,MET clock: cosinor_amplitude; across days p10
activity__met_cosinor_amplitude__p90,activity,physiology,MET clock: cosinor_amplitude; across days p90
activity__met_cosinor_amplitude__missing_fraction,activity,quality,MET clock: cosinor_amplitude; daily missing fraction
activity__met_cosinor_relative_amplitude__median,activity,physiology,MET clock: cosinor_relative_amplitude; across days median
activity__met_cosinor_relative_amplitude__iqr,activity,physiology,MET clock: cosinor_relative_amplitude; across days iqr
activity__met_cosinor_relative_amplitude__p10,activity,physiology,MET clock: cosinor_relative_amplitude; across days p10
activity__met_cosinor_relative_amplitude__p90,activity,physiology,MET clock: cosinor_relative_amplitude; across days p90
activity__met_cosinor_relative_amplitude__missing_fraction,activity,quality,MET clock: cosinor_relative_amplitude; daily missing fraction
activity__met_cosinor_phase_cos__median,activity,physiology,MET clock: cosinor_phase_cos; across days median
activity__met_cosinor_phase_cos__iqr,activity,physiology,MET clock: cosinor_phase_cos; across days iqr
activity__met_cosinor_phase_cos__p10,activity,physiology,MET clock: cosinor_phase_cos; across days p10
activity__met_cosinor_phase_cos__p90,activity,physiology,MET clock: cosinor_phase_cos; across days p90
activity__met_cosinor_phase_cos__missing_fraction,activity,quality,MET clock: cosinor_phase_cos; daily missing fraction
activity__met_cosinor_phase_sin__median,activity,physiology,MET clock: cosinor_phase_sin; across days median
activity__met_cosinor_phase_sin__iqr,activity,physiology,MET clock: cosinor_phase_sin; across days iqr
activity__met_cosinor_phase_sin__p10,activity,physiology,MET clock: cosinor_phase_sin; across days p10
activity__met_cosinor_phase_sin__p90,activity,physiology,MET clock: cosinor_phase_sin; across days p90
activity__met_cosinor_phase_sin__missing_fraction,activity,quality,MET clock: cosinor_phase_sin; daily missing fraction
activity__met_day_night_difference__median,activity,physiology,MET clock: day_night_difference; across days median
activity__met_day_night_difference__iqr,activity,physiology,MET clock: day_night_difference; across days iqr
activity__met_day_night_difference__p10,activity,physiology,MET clock: day_night_difference; across days p10
activity__met_day_night_difference__p90,activity,physiology,MET clock: day_night_difference; across days p90
activity__met_day_night_difference__missing_fraction,activity,quality,MET clock: day_night_difference; daily missing fraction
activity__met_relative_high10_low5__median,activity,physiology,MET clock: relative_high10_low5; across days median
activity__met_relative_high10_low5__iqr,activity,physiology,MET clock: relative_high10_low5; across days iqr
activity__met_relative_high10_low5__p10,activity,physiology,MET clock: relative_high10_low5; across days p10
activity__met_relative_high10_low5__p90,activity,physiology,MET clock: relative_high10_low5; across days p90
activity__met_relative_high10_low5__missing_fraction,activity,quality,MET clock: relative_high10_low5; daily missing fraction
activity__met_low5_met__median,activity,physiology,MET clock: low5_met; across days median
activity__met_low5_met__iqr,activity,physiology,MET clock: low5_met; across days iqr
activity__met_low5_met__p10,activity,physiology,MET clock: low5_met; across days p10
activity__met_low5_met__p90,activity,physiology,MET clock: low5_met; across days p90
activity__met_low5_met__missing_fraction,activity,quality,MET clock: low5_met; daily missing fraction
activity__met_high10_met__median,activity,physiology,MET clock: high10_met; across days median
activity__met_high10_met__iqr,activity,physiology,MET clock: high10_met; across days iqr
activity__met_high10_met__p10,activity,physiology,MET clock: high10_met; across days p10
activity__met_high10_met__p90,activity,physiology,MET clock: high10_met; across days p90
activity__met_high10_met__missing_fraction,activity,quality,MET clock: high10_met; daily missing fraction
activity__interval_minutes__median,activity,quality,activity__interval_minutes; across days median
activity__interval_minutes__iqr,activity,quality,activity__interval_minutes; across days iqr
activity__interval_minutes__p10,activity,quality,activity__interval_minutes; across days p10
activity__interval_minutes__p90,activity,quality,activity__interval_minutes; across days p90
activity__interval_minutes__missing_fraction,activity,quality,activity__interval_minutes; daily missing fraction
activity__steps_per_wear_hour__median,activity,physiology,steps_per_wear_hour; across days median
activity__steps_per_wear_hour__iqr,activity,physiology,steps_per_wear_hour; across days iqr
activity__steps_per_wear_hour__p10,activity,physiology,steps_per_wear_hour; across days p10
activity__steps_per_wear_hour__p90,activity,physiology,steps_per_wear_hour; across days p90
activity__steps_per_wear_hour__missing_fraction,activity,quality,steps_per_wear_hour; daily missing fraction
activity__moderate_high_fraction__median,activity,physiology,moderate_high_fraction; across days median
activity__moderate_high_fraction__iqr,activity,physiology,moderate_high_fraction; across days iqr
activity__moderate_high_fraction__p10,activity,physiology,moderate_high_fraction; across days p10
activity__moderate_high_fraction__p90,activity,physiology,moderate_high_fraction; across days p90
activity__moderate_high_fraction__missing_fraction,activity,quality,moderate_high_fraction; daily missing fraction
activity__inactive_fraction__median,activity,physiology,inactive_fraction; across days median
activity__inactive_fraction__iqr,activity,physiology,inactive_fraction; across days iqr
activity__inactive_fraction__p10,activity,physiology,inactive_fraction; across days p10
activity__inactive_fraction__p90,activity,physiology,inactive_fraction; across days p90
activity__inactive_fraction__missing_fraction,activity,quality,inactive_fraction; daily missing fraction
activity__quality_n_days,activity,quality,n_days
activity__quality_span_days,activity,quality,span_days
activity__quality_coverage,activity,quality,coverage
activity__steps__day_rmssd,activity,physiology,activity__steps; day_rmssd
activity__steps__trend_per_day,activity,physiology,activity__steps; trend_per_day
activity__steps__consecutive_lag1,activity,physiology,activity__steps; consecutive_lag1
activity__average_met__day_rmssd,activity,physiology,activity__average_met; day_rmssd
activity__average_met__trend_per_day,activity,physiology,activity__average_met; trend_per_day
activity__average_met__consecutive_lag1,activity,physiology,activity__average_met; consecutive_lag1
activity__inactive__day_rmssd,activity,physiology,activity__inactive; day_rmssd
activity__inactive__trend_per_day,activity,physiology,activity__inactive; trend_per_day
activity__inactive__consecutive_lag1,activity,physiology,activity__inactive; consecutive_lag1
activity__met_cosinor_amplitude__day_rmssd,activity,physiology,activity__met_cosinor_amplitude; day_rmssd
activity__met_cosinor_amplitude__trend_per_day,activity,physiology,activity__met_cosinor_amplitude; trend_per_day
activity__met_cosinor_amplitude__consecutive_lag1,activity,physiology,activity__met_cosinor_amplitude; consecutive_lag1
activity__met_relative_high10_low5__day_rmssd,activity,physiology,activity__met_relative_high10_low5; day_rmssd
activity__met_relative_high10_low5__trend_per_day,activity,physiology,activity__met_relative_high10_low5; trend_per_day
activity__met_relative_high10_low5__consecutive_lag1,activity,physiology,activity__met_relative_high10_low5; consecutive_lag1
