feature,modality,family,description,kind
sleep__hr_lowest__extra_weekend_delta,sleep,physiology,sleep__hr_lowest: within-person weekend_delta,v2
sleep__light__extra_mean,sleep,physiology,sleep__light: within-person mean,v2
sleep__light__extra_std,sleep,physiology,sleep__light: within-person std,v2
sleep__light__extra_mad,sleep,physiology,sleep__light: within-person mad,v2
sleep__light__extra_cv,sleep,physiology,sleep__light: within-person cv,v2
sleep__light__extra_weekend_delta,sleep,physiology,sleep__light: within-person weekend_delta,v2
sleep__onset_latency__extra_mean,sleep,physiology,sleep__onset_latency: within-person mean,v2
sleep__onset_latency__extra_std,sleep,physiology,sleep__onset_latency: within-person std,v2
sleep__onset_latency__extra_mad,sleep,physiology,sleep__onset_latency: within-person mad,v2
sleep__onset_latency__extra_cv,sleep,physiology,sleep__onset_latency: within-person cv,v2
sleep__onset_latency__extra_weekend_delta,sleep,physiology,sleep__onset_latency: within-person weekend_delta,v2
sleep__rem__extra_mean,sleep,physiology,sleep__rem: within-person mean,v2
sleep__rem__extra_std,sleep,physiology,sleep__rem: within-person std,v2
sleep__rem__extra_mad,sleep,physiology,sleep__rem: within-person mad,v2
sleep__rem__extra_cv,sleep,physiology,sleep__rem: within-person cv,v2
sleep__rem__extra_weekend_delta,sleep,physiology,sleep__rem: within-person weekend_delta,v2
sleep__restless__extra_mean,sleep,physiology,sleep__restless: within-person mean,v2
sleep__restless__extra_std,sleep,physiology,sleep__restless: within-person std,v2
sleep__restless__extra_mad,sleep,physiology,sleep__restless: within-person mad,v2
sleep__restless__extra_cv,sleep,physiology,sleep__restless: within-person cv,v2
sleep__restless__extra_weekend_delta,sleep,physiology,sleep__restless: within-person weekend_delta,v2
sleep__rmssd__extra_mean,sleep,physiology,sleep__rmssd: within-person mean,v2
sleep__rmssd__extra_std,sleep,physiology,sleep__rmssd: within-person std,v2
sleep__rmssd__extra_mad,sleep,physiology,sleep__rmssd: within-person mad,v2
sleep__rmssd__extra_cv,sleep,physiology,sleep__rmssd: within-person cv,v2
sleep__rmssd__extra_weekend_delta,sleep,physiology,sleep__rmssd: within-person weekend_delta,v2
sleep__score__extra_mean,sleep,vendor,sleep__score: within-person mean,v2
sleep__score__extra_std,sleep,vendor,sleep__score: within-person std,v2
sleep__score__extra_mad,sleep,vendor,sleep__score: within-person mad,v2
sleep__score__extra_cv,sleep,vendor,sleep__score: within-person cv,v2
sleep__score__extra_weekend_delta,sleep,vendor,sleep__score: within-person weekend_delta,v2
sleep__score_alignment__extra_mean,sleep,vendor,sleep__score_alignment: within-person mean,v2
sleep__score_alignment__extra_std,sleep,vendor,sleep__score_alignment: within-person std,v2
sleep__score_alignment__extra_mad,sleep,vendor,sleep__score_alignment: within-person mad,v2
sleep__score_alignment__extra_cv,sleep,vendor,sleep__score_alignment: within-person cv,v2
sleep__score_alignment__extra_weekend_delta,sleep,vendor,sleep__score_alignment: within-person weekend_delta,v2
sleep__score_deep__extra_mean,sleep,vendor,sleep__score_deep: within-person mean,v2
sleep__score_deep__extra_std,sleep,vendor,sleep__score_deep: within-person std,v2
sleep__score_deep__extra_mad,sleep,vendor,sleep__score_deep: within-person mad,v2
sleep__score_deep__extra_cv,sleep,vendor,sleep__score_deep: within-person cv,v2
sleep__score_deep__extra_weekend_delta,sleep,vendor,sleep__score_deep: within-person weekend_delta,v2
sleep__score_disturbances__extra_mean,sleep,vendor,sleep__score_disturbances: within-person mean,v2
sleep__score_disturbances__extra_std,sleep,vendor,sleep__score_disturbances: within-person std,v2
sleep__score_disturbances__extra_mad,sleep,vendor,sleep__score_disturbances: within-person mad,v2
sleep__score_disturbances__extra_cv,sleep,vendor,sleep__score_disturbances: within-person cv,v2
sleep__score_disturbances__extra_weekend_delta,sleep,vendor,sleep__score_disturbances: within-person weekend_delta,v2
sleep__score_efficiency__extra_mean,sleep,vendor,sleep__score_efficiency: within-person mean,v2
sleep__score_efficiency__extra_std,sleep,vendor,sleep__score_efficiency: within-person std,v2
sleep__score_efficiency__extra_mad,sleep,vendor,sleep__score_efficiency: within-person mad,v2
sleep__score_efficiency__extra_cv,sleep,vendor,sleep__score_efficiency: within-person cv,v2
sleep__score_efficiency__extra_weekend_delta,sleep,vendor,sleep__score_efficiency: within-person weekend_delta,v2
sleep__score_latency__extra_mean,sleep,vendor,sleep__score_latency: within-person mean,v2
sleep__score_latency__extra_std,sleep,vendor,sleep__score_latency: within-person std,v2
sleep__score_latency__extra_mad,sleep,vendor,sleep__score_latency: within-person mad,v2
sleep__score_latency__extra_cv,sleep,vendor,sleep__score_latency: within-person cv,v2
sleep__score_latency__extra_weekend_delta,sleep,vendor,sleep__score_latency: within-person weekend_delta,v2
sleep__score_rem__extra_mean,sleep,vendor,sleep__score_rem: within-person mean,v2
sleep__score_rem__extra_std,sleep,vendor,sleep__score_rem: within-person std,v2
sleep__score_rem__extra_mad,sleep,vendor,sleep__score_rem: within-person mad,v2
sleep__score_rem__extra_cv,sleep,vendor,sleep__score_rem: within-person cv,v2
sleep__score_rem__extra_weekend_delta,sleep,vendor,sleep__score_rem: within-person weekend_delta,v2
sleep__score_total__extra_mean,sleep,vendor,sleep__score_total: within-person mean,v2
sleep__score_total__extra_std,sleep,vendor,sleep__score_total: within-person std,v2
sleep__score_total__extra_mad,sleep,vendor,sleep__score_total: within-person mad,v2
sleep__score_total__extra_cv,sleep,vendor,sleep__score_total: within-person cv,v2
sleep__score_total__extra_weekend_delta,sleep,vendor,sleep__score_total: within-person weekend_delta,v2
sleep__temperature_delta__extra_mean,sleep,physiology,sleep__temperature_delta: within-person mean,v2
sleep__temperature_delta__extra_std,sleep,physiology,sleep__temperature_delta: within-person std,v2
sleep__temperature_delta__extra_mad,sleep,physiology,sleep__temperature_delta: within-person mad,v2
sleep__temperature_delta__extra_cv,sleep,physiology,sleep__temperature_delta: within-person cv,v2
sleep__temperature_delta__extra_weekend_delta,sleep,physiology,sleep__temperature_delta: within-person weekend_delta,v2
sleep__temperature_deviation__extra_mean,sleep,physiology,sleep__temperature_deviation: within-person mean,v2
sleep__temperature_deviation__extra_std,sleep,physiology,sleep__temperature_deviation: within-person std,v2
sleep__temperature_deviation__extra_mad,sleep,physiology,sleep__temperature_deviation: within-person mad,v2
sleep__temperature_deviation__extra_cv,sleep,physiology,sleep__temperature_deviation: within-person cv,v2
sleep__temperature_deviation__extra_weekend_delta,sleep,physiology,sleep__temperature_deviation: within-person weekend_delta,v2
sleep__total__extra_mean,sleep,physiology,sleep__total: within-person mean,v2
sleep__total__extra_std,sleep,physiology,sleep__total: within-person std,v2
sleep__total__extra_mad,sleep,physiology,sleep__total: within-person mad,v2
sleep__total__extra_cv,sleep,physiology,sleep__total: within-person cv,v2
sleep__total__extra_weekend_delta,sleep,physiology,sleep__total: within-person weekend_delta,v2
sleep__hr_mean__extra_mean,sleep,physiology,sleep__hr_mean: within-person mean,v2
sleep__hr_mean__extra_std,sleep,physiology,sleep__hr_mean: within-person std,v2
sleep__hr_mean__extra_mad,sleep,physiology,sleep__hr_mean: within-person mad,v2
sleep__hr_mean__extra_cv,sleep,physiology,sleep__hr_mean: within-person cv,v2
sleep__hr_mean__extra_weekend_delta,sleep,physiology,sleep__hr_mean: within-person weekend_delta,v2
sleep__hr_std__extra_mean,sleep,physiology,sleep__hr_std: within-person mean,v2
sleep__hr_std__extra_std,sleep,physiology,sleep__hr_std: within-person std,v2
sleep__hr_std__extra_mad,sleep,physiology,sleep__hr_std: within-person mad,v2
sleep__hr_std__extra_cv,sleep,physiology,sleep__hr_std: within-person cv,v2
sleep__hr_std__extra_weekend_delta,sleep,physiology,sleep__hr_std: within-person weekend_delta,v2
sleep__hr_p10__extra_mean,sleep,physiology,sleep__hr_p10: within-person mean,v2
sleep__hr_p10__extra_std,sleep,physiology,sleep__hr_p10: within-person std,v2
sleep__hr_p10__extra_mad,sleep,physiology,sleep__hr_p10: within-person mad,v2
sleep__hr_p10__extra_cv,sleep,physiology,sleep__hr_p10: within-person cv,v2
sleep__hr_p10__extra_weekend_delta,sleep,physiology,sleep__hr_p10: within-person weekend_delta,v2
sleep__hr_p90__extra_mean,sleep,physiology,sleep__hr_p90: within-person mean,v2
sleep__hr_p90__extra_std,sleep,physiology,sleep__hr_p90: within-person std,v2
sleep__hr_p90__extra_mad,sleep,physiology,sleep__hr_p90: within-person mad,v2
sleep__hr_p90__extra_cv,sleep,physiology,sleep__hr_p90: within-person cv,v2
sleep__hr_p90__extra_weekend_delta,sleep,physiology,sleep__hr_p90: within-person weekend_delta,v2
sleep__hr_rmssd_adjacent__extra_mean,sleep,physiology,sleep__hr_rmssd_adjacent: within-person mean,v2
sleep__hr_rmssd_adjacent__extra_std,sleep,physiology,sleep__hr_rmssd_adjacent: within-person std,v2
sleep__hr_rmssd_adjacent__extra_mad,sleep,physiology,sleep__hr_rmssd_adjacent: within-person mad,v2
sleep__hr_rmssd_adjacent__extra_cv,sleep,physiology,sleep__hr_rmssd_adjacent: within-person cv,v2
sleep__hr_rmssd_adjacent__extra_weekend_delta,sleep,physiology,sleep__hr_rmssd_adjacent: within-person weekend_delta,v2
sleep__hr_lag1__extra_mean,sleep,physiology,sleep__hr_lag1: within-person mean,v2
sleep__hr_lag1__extra_std,sleep,physiology,sleep__hr_lag1: within-person std,v2
sleep__hr_lag1__extra_mad,sleep,physiology,sleep__hr_lag1: within-person mad,v2
sleep__hr_lag1__extra_cv,sleep,physiology,sleep__hr_lag1: within-person cv,v2
sleep__hr_lag1__extra_weekend_delta,sleep,physiology,sleep__hr_lag1: within-person weekend_delta,v2
sleep__hr_last_first_third__extra_mean,sleep,physiology,sleep__hr_last_first_third: within-person mean,v2
sleep__hr_last_first_third__extra_std,sleep,physiology,sleep__hr_last_first_third: within-person std,v2
sleep__hr_last_first_third__extra_mad,sleep,physiology,sleep__hr_last_first_third: within-person mad,v2
sleep__hr_last_first_third__extra_cv,sleep,physiology,sleep__hr_last_first_third: within-person cv,v2
sleep__hr_last_first_third__extra_weekend_delta,sleep,physiology,sleep__hr_last_first_third: within-person weekend_delta,v2
sleep__hr_valid_fraction__extra_mean,sleep,quality,sleep__hr_valid_fraction: within-person mean,v2
sleep__hr_valid_fraction__extra_std,sleep,quality,sleep__hr_valid_fraction: within-person std,v2
sleep__hr_valid_fraction__extra_mad,sleep,quality,sleep__hr_valid_fraction: within-person mad,v2
sleep__hr_valid_fraction__extra_cv,sleep,quality,sleep__hr_valid_fraction: within-person cv,v2
sleep__hr_valid_fraction__extra_weekend_delta,sleep,quality,sleep__hr_valid_fraction: within-person weekend_delta,v2
sleep__hr_length__extra_mean,sleep,quality,sleep__hr_length: within-person mean,v2
sleep__hr_length__extra_std,sleep,quality,sleep__hr_length: within-person std,v2
sleep__hr_length__extra_mad,sleep,quality,sleep__hr_length: within-person mad,v2
sleep__hr_length__extra_cv,sleep,quality,sleep__hr_length: within-person cv,v2
sleep__hr_length__extra_weekend_delta,sleep,quality,sleep__hr_length: within-person weekend_delta,v2
sleep__state_code_1_fraction__extra_mean,sleep,physiology,sleep__state_code_1_fraction: within-person mean,v2
sleep__state_code_1_fraction__extra_std,sleep,physiology,sleep__state_code_1_fraction: within-person std,v2
sleep__state_code_1_fraction__extra_mad,sleep,physiology,sleep__state_code_1_fraction: within-person mad,v2
sleep__state_code_1_fraction__extra_cv,sleep,physiology,sleep__state_code_1_fraction: within-person cv,v2
sleep__state_code_1_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_1_fraction: within-person weekend_delta,v2
sleep__state_code_1_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_1_longest_minutes: within-person mean,v2
sleep__state_code_1_longest_minutes__extra_std,sleep,physiology,sleep__state_code_1_longest_minutes: within-person std,v2
sleep__state_code_1_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_1_longest_minutes: within-person mad,v2
sleep__state_code_1_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_1_longest_minutes: within-person cv,v2
sleep__state_code_1_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_1_longest_minutes: within-person weekend_delta,v2
sleep__state_code_2_fraction__extra_mean,sleep,physiology,sleep__state_code_2_fraction: within-person mean,v2
sleep__state_code_2_fraction__extra_std,sleep,physiology,sleep__state_code_2_fraction: within-person std,v2
sleep__state_code_2_fraction__extra_mad,sleep,physiology,sleep__state_code_2_fraction: within-person mad,v2
sleep__state_code_2_fraction__extra_cv,sleep,physiology,sleep__state_code_2_fraction: within-person cv,v2
sleep__state_code_2_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_2_fraction: within-person weekend_delta,v2
sleep__state_code_2_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_2_longest_minutes: within-person mean,v2
sleep__state_code_2_longest_minutes__extra_std,sleep,physiology,sleep__state_code_2_longest_minutes: within-person std,v2
sleep__state_code_2_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_2_longest_minutes: within-person mad,v2
sleep__state_code_2_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_2_longest_minutes: within-person cv,v2
sleep__state_code_2_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_2_longest_minutes: within-person weekend_delta,v2
sleep__state_code_3_fraction__extra_mean,sleep,physiology,sleep__state_code_3_fraction: within-person mean,v2
sleep__state_code_3_fraction__extra_std,sleep,physiology,sleep__state_code_3_fraction: within-person std,v2
sleep__state_code_3_fraction__extra_mad,sleep,physiology,sleep__state_code_3_fraction: within-person mad,v2
sleep__state_code_3_fraction__extra_cv,sleep,physiology,sleep__state_code_3_fraction: within-person cv,v2
sleep__state_code_3_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_3_fraction: within-person weekend_delta,v2
sleep__state_code_3_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_3_longest_minutes: within-person mean,v2
sleep__state_code_3_longest_minutes__extra_std,sleep,physiology,sleep__state_code_3_longest_minutes: within-person std,v2
sleep__state_code_3_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_3_longest_minutes: within-person mad,v2
sleep__state_code_3_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_3_longest_minutes: within-person cv,v2
sleep__state_code_3_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_3_longest_minutes: within-person weekend_delta,v2
sleep__state_code_4_fraction__extra_mean,sleep,physiology,sleep__state_code_4_fraction: within-person mean,v2
sleep__state_code_4_fraction__extra_std,sleep,physiology,sleep__state_code_4_fraction: within-person std,v2
sleep__state_code_4_fraction__extra_mad,sleep,physiology,sleep__state_code_4_fraction: within-person mad,v2
sleep__state_code_4_fraction__extra_cv,sleep,physiology,sleep__state_code_4_fraction: within-person cv,v2
sleep__state_code_4_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_4_fraction: within-person weekend_delta,v2
sleep__state_code_4_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_4_longest_minutes: within-person mean,v2
sleep__state_code_4_longest_minutes__extra_std,sleep,physiology,sleep__state_code_4_longest_minutes: within-person std,v2
sleep__state_code_4_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_4_longest_minutes: within-person mad,v2
sleep__state_code_4_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_4_longest_minutes: within-person cv,v2
sleep__state_code_4_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_4_longest_minutes: within-person weekend_delta,v2
sleep__state_entropy__extra_mean,sleep,physiology,sleep__state_entropy: within-person mean,v2
sleep__state_entropy__extra_std,sleep,physiology,sleep__state_entropy: within-person std,v2
sleep__state_entropy__extra_mad,sleep,physiology,sleep__state_entropy: within-person mad,v2
sleep__state_entropy__extra_cv,sleep,physiology,sleep__state_entropy: within-person cv,v2
sleep__state_entropy__extra_weekend_delta,sleep,physiology,sleep__state_entropy: within-person weekend_delta,v2
sleep__state_transition_rate__extra_mean,sleep,physiology,sleep__state_transition_rate: within-person mean,v2
sleep__state_transition_rate__extra_std,sleep,physiology,sleep__state_transition_rate: within-person std,v2
sleep__state_transition_rate__extra_mad,sleep,physiology,sleep__state_transition_rate: within-person mad,v2
sleep__state_transition_rate__extra_cv,sleep,physiology,sleep__state_transition_rate: within-person cv,v2
sleep__state_transition_rate__extra_weekend_delta,sleep,physiology,sleep__state_transition_rate: within-person weekend_delta,v2
sleep__state_valid_fraction__extra_mean,sleep,quality,sleep__state_valid_fraction: within-person mean,v2
sleep__state_valid_fraction__extra_std,sleep,quality,sleep__state_valid_fraction: within-person std,v2
sleep__state_valid_fraction__extra_mad,sleep,quality,sleep__state_valid_fraction: within-person mad,v2
sleep__state_valid_fraction__extra_cv,sleep,quality,sleep__state_valid_fraction: within-person cv,v2
sleep__state_valid_fraction__extra_weekend_delta,sleep,quality,sleep__state_valid_fraction: within-person weekend_delta,v2
sleep__state_length__extra_mean,sleep,quality,sleep__state_length: within-person mean,v2
sleep__state_length__extra_std,sleep,quality,sleep__state_length: within-person std,v2
sleep__state_length__extra_mad,sleep,quality,sleep__state_length: within-person mad,v2
sleep__state_length__extra_cv,sleep,quality,sleep__state_length: within-person cv,v2
sleep__state_length__extra_weekend_delta,sleep,quality,sleep__state_length: within-person weekend_delta,v2
sleep__hrv_mean__extra_mean,sleep,physiology,sleep__hrv_mean: within-person mean,v2
sleep__hrv_mean__extra_std,sleep,physiology,sleep__hrv_mean: within-person std,v2
sleep__hrv_mean__extra_mad,sleep,physiology,sleep__hrv_mean: within-person mad,v2
sleep__hrv_mean__extra_cv,sleep,physiology,sleep__hrv_mean: within-person cv,v2
sleep__hrv_mean__extra_weekend_delta,sleep,physiology,sleep__hrv_mean: within-person weekend_delta,v2
sleep__hrv_std__extra_mean,sleep,physiology,sleep__hrv_std: within-person mean,v2
sleep__hrv_std__extra_std,sleep,physiology,sleep__hrv_std: within-person std,v2
sleep__hrv_std__extra_mad,sleep,physiology,sleep__hrv_std: within-person mad,v2
sleep__hrv_std__extra_cv,sleep,physiology,sleep__hrv_std: within-person cv,v2
sleep__hrv_std__extra_weekend_delta,sleep,physiology,sleep__hrv_std: within-person weekend_delta,v2
sleep__hrv_p10__extra_mean,sleep,physiology,sleep__hrv_p10: within-person mean,v2
sleep__hrv_p10__extra_std,sleep,physiology,sleep__hrv_p10: within-person std,v2
sleep__hrv_p10__extra_mad,sleep,physiology,sleep__hrv_p10: within-person mad,v2
sleep__hrv_p10__extra_cv,sleep,physiology,sleep__hrv_p10: within-person cv,v2
sleep__hrv_p10__extra_weekend_delta,sleep,physiology,sleep__hrv_p10: within-person weekend_delta,v2
sleep__hrv_p90__extra_mean,sleep,physiology,sleep__hrv_p90: within-person mean,v2
sleep__hrv_p90__extra_std,sleep,physiology,sleep__hrv_p90: within-person std,v2
sleep__hrv_p90__extra_mad,sleep,physiology,sleep__hrv_p90: within-person mad,v2
sleep__hrv_p90__extra_cv,sleep,physiology,sleep__hrv_p90: within-person cv,v2
sleep__hrv_p90__extra_weekend_delta,sleep,physiology,sleep__hrv_p90: within-person weekend_delta,v2
sleep__hrv_rmssd_adjacent__extra_mean,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person mean,v2
sleep__hrv_rmssd_adjacent__extra_std,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person std,v2
sleep__hrv_rmssd_adjacent__extra_mad,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person mad,v2
sleep__hrv_rmssd_adjacent__extra_cv,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person cv,v2
sleep__hrv_rmssd_adjacent__extra_weekend_delta,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person weekend_delta,v2
sleep__hrv_lag1__extra_mean,sleep,physiology,sleep__hrv_lag1: within-person mean,v2
sleep__hrv_lag1__extra_std,sleep,physiology,sleep__hrv_lag1: within-person std,v2
sleep__hrv_lag1__extra_mad,sleep,physiology,sleep__hrv_lag1: within-person mad,v2
sleep__hrv_lag1__extra_cv,sleep,physiology,sleep__hrv_lag1: within-person cv,v2
sleep__hrv_lag1__extra_weekend_delta,sleep,physiology,sleep__hrv_lag1: within-person weekend_delta,v2
sleep__hrv_last_first_third__extra_mean,sleep,physiology,sleep__hrv_last_first_third: within-person mean,v2
sleep__hrv_last_first_third__extra_std,sleep,physiology,sleep__hrv_last_first_third: within-person std,v2
sleep__hrv_last_first_third__extra_mad,sleep,physiology,sleep__hrv_last_first_third: within-person mad,v2
sleep__hrv_last_first_third__extra_cv,sleep,physiology,sleep__hrv_last_first_third: within-person cv,v2
sleep__hrv_last_first_third__extra_weekend_delta,sleep,physiology,sleep__hrv_last_first_third: within-person weekend_delta,v2
sleep__hrv_valid_fraction__extra_mean,sleep,quality,sleep__hrv_valid_fraction: within-person mean,v2
sleep__hrv_valid_fraction__extra_std,sleep,quality,sleep__hrv_valid_fraction: within-person std,v2
sleep__hrv_valid_fraction__extra_mad,sleep,quality,sleep__hrv_valid_fraction: within-person mad,v2
sleep__hrv_valid_fraction__extra_cv,sleep,quality,sleep__hrv_valid_fraction: within-person cv,v2
sleep__hrv_valid_fraction__extra_weekend_delta,sleep,quality,sleep__hrv_valid_fraction: within-person weekend_delta,v2
sleep__hrv_length__extra_mean,sleep,quality,sleep__hrv_length: within-person mean,v2
sleep__hrv_length__extra_std,sleep,quality,sleep__hrv_length: within-person std,v2
sleep__hrv_length__extra_mad,sleep,quality,sleep__hrv_length: within-person mad,v2
sleep__hrv_length__extra_cv,sleep,quality,sleep__hrv_length: within-person cv,v2
sleep__hrv_length__extra_weekend_delta,sleep,quality,sleep__hrv_length: within-person weekend_delta,v2
sleep__deep_fraction__extra_mean,sleep,physiology,sleep__deep_fraction: within-person mean,v2
sleep__deep_fraction__extra_std,sleep,physiology,sleep__deep_fraction: within-person std,v2
sleep__deep_fraction__extra_mad,sleep,physiology,sleep__deep_fraction: within-person mad,v2
sleep__deep_fraction__extra_cv,sleep,physiology,sleep__deep_fraction: within-person cv,v2
sleep__deep_fraction__extra_weekend_delta,sleep,physiology,sleep__deep_fraction: within-person weekend_delta,v2
sleep__light_fraction__extra_mean,sleep,physiology,sleep__light_fraction: within-person mean,v2
sleep__light_fraction__extra_std,sleep,physiology,sleep__light_fraction: within-person std,v2
sleep__light_fraction__extra_mad,sleep,physiology,sleep__light_fraction: within-person mad,v2
sleep__light_fraction__extra_cv,sleep,physiology,sleep__light_fraction: within-person cv,v2
sleep__light_fraction__extra_weekend_delta,sleep,physiology,sleep__light_fraction: within-person weekend_delta,v2
sleep__rem_fraction__extra_mean,sleep,physiology,sleep__rem_fraction: within-person mean,v2
sleep__rem_fraction__extra_std,sleep,physiology,sleep__rem_fraction: within-person std,v2
sleep__rem_fraction__extra_mad,sleep,physiology,sleep__rem_fraction: within-person mad,v2
sleep__rem_fraction__extra_cv,sleep,physiology,sleep__rem_fraction: within-person cv,v2
sleep__rem_fraction__extra_weekend_delta,sleep,physiology,sleep__rem_fraction: within-person weekend_delta,v2
sleep__awake_fraction__extra_mean,sleep,physiology,sleep__awake_fraction: within-person mean,v2
sleep__awake_fraction__extra_std,sleep,physiology,sleep__awake_fraction: within-person std,v2
sleep__awake_fraction__extra_mad,sleep,physiology,sleep__awake_fraction: within-person mad,v2
sleep__awake_fraction__extra_cv,sleep,physiology,sleep__awake_fraction: within-person cv,v2
sleep__awake_fraction__extra_weekend_delta,sleep,physiology,sleep__awake_fraction: within-person weekend_delta,v2
sleep__latency_fraction__extra_mean,sleep,physiology,sleep__latency_fraction: within-person mean,v2
sleep__latency_fraction__extra_std,sleep,physiology,sleep__latency_fraction: within-person std,v2
sleep__latency_fraction__extra_mad,sleep,physiology,sleep__latency_fraction: within-person mad,v2
sleep__latency_fraction__extra_cv,sleep,physiology,sleep__latency_fraction: within-person cv,v2
sleep__latency_fraction__extra_weekend_delta,sleep,physiology,sleep__latency_fraction: within-person weekend_delta,v2
sleep__bedtime_sin__extra_mean,sleep,physiology,sleep__bedtime_sin: within-person mean,v2
sleep__bedtime_sin__extra_std,sleep,physiology,sleep__bedtime_sin: within-person std,v2
sleep__bedtime_sin__extra_mad,sleep,physiology,sleep__bedtime_sin: within-person mad,v2
sleep__bedtime_sin__extra_cv,sleep,physiology,sleep__bedtime_sin: within-person cv,v2
sleep__bedtime_sin__extra_weekend_delta,sleep,physiology,sleep__bedtime_sin: within-person weekend_delta,v2
sleep__bedtime_cos__extra_mean,sleep,physiology,sleep__bedtime_cos: within-person mean,v2
sleep__bedtime_cos__extra_std,sleep,physiology,sleep__bedtime_cos: within-person std,v2
sleep__bedtime_cos__extra_mad,sleep,physiology,sleep__bedtime_cos: within-person mad,v2
sleep__bedtime_cos__extra_cv,sleep,physiology,sleep__bedtime_cos: within-person cv,v2
sleep__bedtime_cos__extra_weekend_delta,sleep,physiology,sleep__bedtime_cos: within-person weekend_delta,v2
sleep__wake_sin__extra_mean,sleep,physiology,sleep__wake_sin: within-person mean,v2
sleep__wake_sin__extra_std,sleep,physiology,sleep__wake_sin: within-person std,v2
sleep__wake_sin__extra_mad,sleep,physiology,sleep__wake_sin: within-person mad,v2
sleep__wake_sin__extra_cv,sleep,physiology,sleep__wake_sin: within-person cv,v2
sleep__wake_sin__extra_weekend_delta,sleep,physiology,sleep__wake_sin: within-person weekend_delta,v2
sleep__wake_cos__extra_mean,sleep,physiology,sleep__wake_cos: within-person mean,v2
sleep__wake_cos__extra_std,sleep,physiology,sleep__wake_cos: within-person std,v2
sleep__wake_cos__extra_mad,sleep,physiology,sleep__wake_cos: within-person mad,v2
sleep__wake_cos__extra_cv,sleep,physiology,sleep__wake_cos: within-person cv,v2
sleep__wake_cos__extra_weekend_delta,sleep,physiology,sleep__wake_cos: within-person weekend_delta,v2
context__activity__first_epochday,activity,collection_context,"Acquisition timing, not a physiological biomarker: first_epochday",collection_context
context__activity__last_epochday,activity,collection_context,"Acquisition timing, not a physiological biomarker: last_epochday",collection_context
context__activity__median_epochday,activity,collection_context,"Acquisition timing, not a physiological biomarker: median_epochday",collection_context
context__activity__season_sin,activity,collection_context,"Acquisition timing, not a physiological biomarker: season_sin",collection_context
context__activity__season_cos,activity,collection_context,"Acquisition timing, not a physiological biomarker: season_cos",collection_context
context__activity__weekend_fraction,activity,collection_context,"Acquisition timing, not a physiological biomarker: weekend_fraction",collection_context
v3__activity__average_met__mean,activity,physiology,activity__average_met: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__average_met__std,activity,physiology,activity__average_met: within-person std; calendar windows where applicable,temporal_v3
v3__activity__average_met__median,activity,physiology,activity__average_met: within-person median; calendar windows where applicable,temporal_v3
v3__activity__average_met__trimmed_mean,activity,physiology,activity__average_met: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__average_met__mode,activity,physiology,activity__average_met: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__average_met__minimum,activity,physiology,activity__average_met: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__average_met__maximum,activity,physiology,activity__average_met: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__average_met__range,activity,physiology,activity__average_met: within-person range; calendar windows where applicable,temporal_v3
v3__activity__average_met__mad,activity,physiology,activity__average_met: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__average_met__cv,activity,physiology,activity__average_met: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__average_met__skew,activity,physiology,activity__average_met: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__average_met__kurtosis,activity,physiology,activity__average_met: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__average_met__q05,activity,physiology,activity__average_met: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__average_met__q95,activity,physiology,activity__average_met: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__average_met__rmssd,activity,physiology,activity__average_met: within-person rmssd; calendar windows where applicable,temporal_v3
